id;Enseignes;Latitude;Longitude;CP;Adresse;Ville;Type
65190002;Carrefour Contact;4317600.0;24000.0;65190;Avenue de Bagnères;Tournay;R
65200003;Carrefour Market;4306700.0;15200.0;65200;26 Avenue Geruzet;Bagnères-de-Bigorre;R
65240001;Carrefour Contact;4289922.58853;35364.2473678;65240;LIEU DIT PLAS;ARREAU;R
65300002;Carrefour Market;4309800.0;39900.0;65300;CENTRE COMMERCIAL LA RAMONDIA;LANNEMEZAN;R
65370002;Carrefour Contact;4302400.0;60300.0;65370;ROUTE NATIONALE;Loures-Barousse;R
65400001;Carrefour Market;4301400.0;-9800.0;65400;Route du stade;ARGELES GAZOST;R
66220001;Carrefour Market;4280900.0;250000.0;66220;Lotissement le Pla;SAINT-PAUL-DE-FENOUILLET;R
66270004;Carrefour;4268609.0286948;281710.65594275;66270;ZA SAINTE EUGENIE;LE SOLER;R
66400006;Carrefour Market;4249000.0;275100.0;66400;place de la resistance;ceret;R
66530001;Carrefour;4277700.0;291700.0;66530;Route du Barcares;CLAIRA;R
66650002;Carrefour Market;4248173.0;312928.0;66650;RN 114 ZAC DE LA RECTORIE;BANYULS-SUR-MER;R
66740003;Carrefour Market;4254800.0;294100.0;66740;ROUTE D ARGELES;Laroque-des-Albères;R
66962001;Carrefour;4270100.0;294400.0;66000;route de canet;PERPIGNAN;R
67160003;Carrefour Contact;4897167.5;799146.48;67160;2 BIS RUE DE LA PAIX;Seebach;R
67260008;Carrefour Contact;4893985.938;708596.459;67260;4A Rue du Maréchal FOCH;Sarre-Union;R
67260009;Carrefour Contact;4894000.0;708500.0;67260;4C rue du Maréchal Foch;Sarre-Union;R
67290002;Carrefour Contact;4892000.0;737500.0;67290;Rue Principale;Wingen-sur-Moder;R
67510001;Carrefour Express;4900800.0;778900.0;67510;45 ROUTE DE BITCHE;LEMBACH;R
67630001;Carrefour Market;4897464.612;815741.04;67630;RD 468;SCHEIBENHARD;R
67680001;Carrefour Contact;4836236.5997199;746764.8575567;67680;Lieudit Stotzenweg;EPFIG;R
67690001;Carrefour Contact;4890243.0;796984.0;67690;1 Rue Principale;HATTEN;R
67960001;Carrefour Contact;4853900.0;764900.0;67960;5, Allée des Forgerons;ENTZHEIM;R
68240004;Carrefour Contact;4815051.204;724699.711;68240;63 route de Lapoutroie;KAYSERSBERG VIGNOBLE;R
68313001;Carrefour;4777200.0;738700.0;68110;14 Rue de Berne;ILLZACH;R
68320002;Carrefour Contact;4809600.0;744000.0;68320;Route de Colmar;FORTSCHWIHR;R
68460002;Carrefour Express;4775927.8194842;727887.08436523;68460;5 Rue Aristide BRIAND;Lutterbach;R
69100001;Carrefour;4576900.0;488400.0;69100;145, Rue Anatole France;VILLEURBANNE;R
69132001;Carrefour;4578700.0;477700.0;69130;Avenue du Bon Pasteur;ÉCULLY;R
69140005;Carrefour Market;4581700.0;489100.0;69140;2489 Route de Strasbourg;RILLIEUX-LA-PAPE;R
69190001;Carrefour Market;4570800.0;485500.0;69190;2 place des 4 chemins;SAINT-FONS;R
69200001;Carrefour;4571770.4140586;487305.45992255;69200;BD JOLIOT CURIE;VéNISSIEUX;R
69210002;Carrefour;4574800.0;493100.0;69120;236 avenue Franklin Roosevelt;Vaulx-en-Velin;R
69210008;Carrefour Market;4584200.0;460700.0;69210;RUE CLAUDE TERRASSE;L'Arbresle;R
69220001;Carrefour Market;4609900.0;474900.0;69220;AVENUE DE VERDUN;BELLEVILLE;R
69260007;Carrefour Contact;4592200.0;458000.0;69620;244, Chemin Rivière de la Cour;Le Bois-d'Oingt;R
69330001;Carrefour Market;4576500.0;501200.0;69330;Rue de la République;MEYZIEU;R
69330002;Carrefour Market;4579600.0;504800.0;69330;Boulevard Louis Pradel;JONAGE;R
69340001;Carrefour;4573500.0;477500.0;69340;AVENUE DU CHATER;FRANCHEVILLE;R
69420001;Carrefour Market;4545700.0;475700.0;69420;RN 86 La Maladière;CONDRIEU;R
69430002;Carrefour Contact;4615400.0;461900.0;69430;RUE FRANCIS NORGELET;BEAUJEU;R
69460004;Carrefour Contact;4606180.0691225;459994.99003082;69460;Le Bourg, Rue du Commerce;Le Perréon;R
69480005;Carrefour Market;4594300.0;471500.0;69480;Route de Villefranche;ANSE;R
69530002;Carrefour Contact;4566800.0;475400.0;69530;213 Rue Général de Gaulle;Brignais;R
69540001;Carrefour Market;4568800.0;482500.0;69540;Rue du Chateau d'Yvours;Irigny;R
69550001;Carrefour Market;4598163.0;433531.0;69550;Z.i. la Gaité;Amplepuis;R
